card,team,pp,lp,diff
Cameron Brate: 2022 Elevate Set (RARE),TB,18.0,25.99,7.989999999999998
Cameron Brate: 2022 Booster Set (RARE),TB,18.0,25.0,7.0
Cyril Grayson: 2022 Genesis Set (RARE),TB,7.0,13.5,6.5
James Washington: 2022 Elevate Set (RARE),DAL,5.0,9.75,4.75
Chase Edmonds: 2022 Elevate Set (RARE),MIA,32.0,36.69,4.689999999999998
Giovani Bernard: 2022 Elevate Set (RARE),TB,5.49,9.5,4.01
Ryan Tannehill: 2022 Booster Set (CORE),TEN,8.0,12.0,4.0
James Washington: 2022 Genesis Set (RARE),DAL,6.0,9.98,3.9800000000000004
Greg Dulcich: 2022 Elevate Set (RARE),DEN,5.25,8.99,3.74
Giovani Bernard: 2022 Elevate Set (RARE),TB,5.98,9.5,3.5199999999999996
Davante Adams: 2022 Booster Set (CORE),LV,11.49,15.0,3.51
Diontae Johnson: 2022 Elevate Set (CORE),PIT,6.49,10.0,3.51
Shaquil Barrett: 2022 Genesis Set (CORE),TB,3.5,6.9,3.4000000000000004
Antoine Winfield Jr.: 2022 Booster Set (CORE),TB,2.25,5.5,3.25
Antoine Winfield Jr.: 2022 Booster Set (CORE),TB,2.5,5.5,3.0
Ryan Tannehill: 2022 Booster Set (CORE),TEN,9.0,12.0,3.0
Russell Gage: 2022 Genesis Set (CORE),TB,4.0,6.75,2.75
Antoine Winfield Jr.: 2022 Booster Set (CORE),TB,2.75,5.5,2.75
Russell Gage: 2022 Elevate Set (CORE),TB,2.75,5.5,2.75
Russell Gage: 2022 Genesis Set (CORE),TB,4.1,6.75,2.6500000000000004
DeMarcus Lawrence: 2022 Booster Set (CORE),DAL,2.25,4.75,2.5
Matthew Stafford: 2022 Booster Set (CORE),LAR,12.0,13.99,1.9900000000000002
Cooper Rush: 2022 Genesis Set (CORE),DAL,1.97,3.79,1.82
Cooper Rush: 2022 Genesis Set (CORE),DAL,1.98,3.79,1.81
Cooper Rush: 2022 Genesis Set (CORE),DAL,2.0,3.79,1.79
Cooper Rush: 2022 Genesis Set (CORE),DAL,2.0,3.79,1.79
Scotty Miller: 2022 Booster Set (CORE),TB,2.25,4.0,1.75
Ryan Succop: 2022 Genesis Set (CORE),TB,4.25,5.99,1.7400000000000002
Scotty Miller: 2022 Booster Set (CORE),TB,2.35,4.0,1.65
Michael Gallup: 2022 Genesis Set (CORE),DAL,4.0,5.5,1.5
Brian Robinson Jr.: 2022 Elevate Set (RARE),WAS,10.0,11.5,1.5
Cameron Brate: 2022 Elevate Set (CORE),TB,2.5,4.0,1.5
Cameron Brate: 2022 Elevate Set (CORE),TB,2.51,4.0,1.4900000000000002
Ryan Succop: 2022 Booster Set (CORE),TB,3.75,5.2,1.4500000000000002
Myles Garrett: 2022 Booster Set (CORE),CLE,1.0,2.35,1.35
Ryan Succop: 2022 Genesis Set (CORE),TB,4.75,5.99,1.2400000000000002
George Pickens: 2022 Elevate Set (CORE),PIT,3.75,4.98,1.2300000000000004
Ryan Succop: 2022 Booster Set (CORE),TB,4.0,5.2,1.2000000000000002
Cyril Grayson: 2022 Genesis Set (CORE),TB,1.74,2.9,1.16
Ryan Succop: 2022 Genesis Set (CORE),TB,4.85,5.99,1.1400000000000006
Giovani Bernard: 2022 Elevate Set (CORE),TB,1.09,2.14,1.05
Giovani Bernard: 2022 Elevate Set (CORE),TB,1.12,2.14,1.02
Cooper Kupp: 2022 Booster Set (CORE),LAR,15.99,16.99,0.9999999999999982
Ryan Succop: 2022 Genesis Set (CORE),TB,5.0,5.99,0.9900000000000002
Ryan Succop: 2022 Genesis Set (CORE),TB,5.0,5.99,0.9900000000000002
Ryan Succop: 2022 Genesis Set (CORE),TB,5.0,5.99,0.9900000000000002
Giovani Bernard: 2022 Genesis Set (CORE),TB,1.33,2.25,0.9199999999999999
Cyril Grayson: 2022 Genesis Set (CORE),TB,2.0,2.9,0.8999999999999999
Cyril Grayson: 2022 Genesis Set (CORE),TB,2.0,2.9,0.8999999999999999
James Washington: 2022 Elevate Set (CORE),DAL,1.0,1.89,0.8899999999999999
James Washington: 2022 Elevate Set (CORE),DAL,1.0,1.89,0.8899999999999999
James Washington: 2022 Elevate Set (CORE),DAL,1.0,1.89,0.8899999999999999
James Washington: 2022 Elevate Set (CORE),DAL,1.0,1.89,0.8899999999999999
James Washington: 2022 Elevate Set (CORE),DAL,1.0,1.89,0.8899999999999999
Cyril Grayson: 2022 Booster Set (CORE),TB,1.73,2.6,0.8700000000000001
Giovani Bernard: 2022 Genesis Set (CORE),TB,1.4,2.25,0.8500000000000001
Deshaun Watson: 2022 Booster Set (CORE),CLE,3.99,4.8,0.8099999999999996
Brian Robinson Jr.: 2022 Elevate Set (CORE),WAS,1.45,2.25,0.8
Cooper Rush: 2022 Booster Set (CORE),DAL,1.75,2.5,0.75
Dustin Hopkins: 2022 Booster Set (CORE),LAC,2.0,2.75,0.75
Dustin Hopkins: 2022 Booster Set (CORE),LAC,2.0,2.75,0.75
Brian Robinson Jr.: 2022 Elevate Set (CORE),WAS,1.5,2.25,0.75
Brian Robinson Jr.: 2022 Elevate Set (CORE),WAS,1.5,2.25,0.75
Christian Watson: 2022 Elevate Set (CORE),GB,2.15,2.89,0.7400000000000002
Ryan Succop: 2022 Booster Set (CORE),TB,4.5,5.2,0.7000000000000002
T.J. Watt: 2022 Booster Set (CORE),PIT,1.35,2.0,0.6499999999999999
Giovani Bernard: 2022 Elevate Set (CORE),TB,1.5,2.14,0.6400000000000001
Giovani Bernard: 2022 Elevate Set (CORE),TB,1.5,2.14,0.6400000000000001
Myles Jack: 2022 Booster Set (CORE),PIT,1.35,1.99,0.6399999999999999
Cyril Grayson: 2022 Booster Set (CORE),TB,1.99,2.6,0.6100000000000001
Myles Garrett: 2022 Booster Set (CORE),CLE,1.75,2.35,0.6000000000000001
Denzel Ward: 2022 Booster Set (CORE),CLE,1.2,1.75,0.55
John Johnson III: 2022 Genesis Set (CORE),CLE,1.49,2.0,0.51
Khalil Herbert: 2022 Genesis Set (CORE),CHI,2.99,3.5,0.5099999999999998
Jamison Crowder: 2022 Genesis Set (CORE),BUF,5.49,6.0,0.5099999999999998
Deshaun Watson: 2022 Booster Set (CORE),CLE,4.29,4.8,0.5099999999999998
Khalil Herbert: 2022 Genesis Set (CORE),CHI,3.0,3.5,0.5
John Johnson III: 2022 Genesis Set (CORE),CLE,1.5,2.0,0.5
Cooper Rush: 2022 Booster Set (CORE),DAL,2.0,2.5,0.5
Cooper Rush: 2022 Booster Set (CORE),DAL,2.0,2.5,0.5
T.J. Watt: 2022 Booster Set (CORE),PIT,1.5,2.0,0.5
Myles Jack: 2022 Booster Set (CORE),PIT,1.49,1.99,0.5
Khalil Mack: 2022 Booster Set (CORE),LAC,1.75,2.25,0.5
Pat Freiermuth: 2022 Elevate Set (CORE),PIT,1.75,2.25,0.5
Myles Jack: 2022 Booster Set (CORE),PIT,1.5,1.99,0.49
Chase Winovich: 2022 Genesis Set (CORE),CLE,1.54,2.0,0.45999999999999996
Bryan Cook: 2022 Elevate Set (CORE),KC,2.1,2.55,0.44999999999999973
Michael Gallup: 2022 Elevate Set (CORE),DAL,3.99,4.4,0.41000000000000014
Michael Gallup: 2022 Elevate Set (CORE),DAL,4.0,4.4,0.40000000000000036
Christian Watson: 2022 Elevate Set (CORE),GB,2.5,2.89,0.3900000000000001
Cyril Grayson: 2022 Booster Set (CORE),TB,2.25,2.6,0.3500000000000001
Denzel Ward: 2022 Booster Set (CORE),CLE,1.4,1.75,0.3500000000000001
Myles Garrett: 2022 Booster Set (CORE),CLE,2.0,2.35,0.3500000000000001
Myles Garrett: 2022 Booster Set (CORE),CLE,2.0,2.35,0.3500000000000001
John Johnson III: 2022 Genesis Set (CORE),CLE,1.69,2.0,0.31000000000000005
J.C. Jackson: 2022 Booster Set (CORE),LAC,1.69,2.0,0.31000000000000005
Alex Wright: 2022 Elevate Set (CORE),CLE,1.7,1.99,0.29000000000000004
Brian Robinson Jr.: 2022 Elevate Set (CORE),WAS,1.99,2.25,0.26
Pat Freiermuth: 2022 Elevate Set (CORE),PIT,1.99,2.25,0.26
Chase Winovich: 2022 Genesis Set (CORE),CLE,1.75,2.0,0.25
Amari Cooper: 2022 Booster Set (CORE),CLE,4.25,4.5,0.25
Denzel Ward: 2022 Booster Set (CORE),CLE,1.5,1.75,0.25
J.C. Jackson: 2022 Booster Set (CORE),LAC,1.75,2.0,0.25
Noah Fant: 2022 Booster Set (CORE),SEA,3.5,3.75,0.25
Justin Reid: 2022 Booster Set (CORE),KC,1.5,1.75,0.25
Khalil Mack: 2022 Booster Set (CORE),LAC,2.0,2.25,0.25
Melvin Gordon III: 2022 Booster Set (CORE),DEN,7.0,7.25,0.25
L'Jarius Sneed: 2022 Booster Set (CORE),KC,1.5,1.75,0.25
Cade York: 2022 Elevate Set (CORE),CLE,1.0,1.25,0.25
Pat Freiermuth: 2022 Elevate Set (CORE),PIT,2.0,2.25,0.25
Minkah Fitzpatrick: 2022 Booster Set (CORE),PIT,1.74,1.98,0.24
Alex Wright: 2022 Elevate Set (CORE),CLE,1.75,1.99,0.24
Minkah Fitzpatrick: 2022 Booster Set (CORE),PIT,1.75,1.98,0.22999999999999998
Ryan Succop: 2022 Booster Set (CORE),TB,5.0,5.2,0.20000000000000018
Cameron Heyward: 2022 Booster Set (CORE),PIT,1.45,1.65,0.19999999999999996
Tim Patrick: 2022 Booster Set (CORE),DEN,1.0,1.2,0.19999999999999996
Alex Wright: 2022 Elevate Set (CORE),CLE,1.8,1.99,0.18999999999999995
Cameron Heyward: 2022 Booster Set (CORE),PIT,1.5,1.65,0.1499999999999999
Cade York: 2022 Elevate Set (CORE),CLE,1.12,1.25,0.1299999999999999
Cade York: 2022 Elevate Set (CORE),CLE,1.12,1.25,0.1299999999999999
Cameron Brate: 2022 Elevate Set (CORE),TB,3.88,4.0,0.1200000000000001
Cameron Brate: 2022 Elevate Set (CORE),TB,3.88,4.0,0.1200000000000001
Myles Jack: 2022 Booster Set (CORE),PIT,1.89,1.99,0.10000000000000009
Bryan Cook: 2022 Elevate Set (CORE),KC,2.49,2.55,0.05999999999999961
Denzel Ward: 2022 Booster Set (CORE),CLE,1.7,1.75,0.050000000000000044
Bryan Cook: 2022 Elevate Set (CORE),KC,2.5,2.55,0.04999999999999982
Khalil Mack: 2022 Booster Set (CORE),LAC,2.21,2.25,0.040000000000000036
Khalil Mack: 2022 Booster Set (CORE),LAC,2.22,2.25,0.029999999999999805
Cam Akers: 2022 Booster Set (CORE),LAR,2.99,3.0,0.009999999999999787
Cam Akers: 2022 Booster Set (CORE),LAR,3.0,3.0,0.0
Chase Winovich: 2022 Booster Set (CORE),CLE,1.0,1.0,0.0
Scotty Miller: 2022 Booster Set (CORE),TB,4.0,4.0,0.0
Scotty Miller: 2022 Booster Set (CORE),TB,4.0,4.0,0.0
Scotty Miller: 2022 Booster Set (CORE),TB,4.0,4.0,0.0
Scotty Miller: 2022 Booster Set (CORE),TB,4.0,4.0,0.0
Matt Gay: 2022 Booster Set (CORE),LAR,1.0,1.0,0.0
L'Jarius Sneed: 2022 Booster Set (CORE),KC,1.75,1.75,0.0
Cade York: 2022 Elevate Set (CORE),CLE,1.25,1.25,0.0
Jakobi Meyers: 2022 Elevate Set (CORE),NE,1.89,1.89,0.0
Minkah Fitzpatrick: 2022 Booster Set (CORE),PIT,2.0,1.98,-0.020000000000000018
Dustin Hopkins: 2022 Booster Set (CORE),LAC,2.8,2.75,-0.04999999999999982
Denzel Ward: 2022 Booster Set (CORE),CLE,1.9,1.75,-0.1499999999999999
Denzel Ward: 2022 Booster Set (CORE),CLE,1.9,1.75,-0.1499999999999999
Donovan Peoples-Jones: 2022 Elevate Set (CORE),CLE,1.4,1.25,-0.1499999999999999
Cameron Heyward: 2022 Booster Set (CORE),PIT,1.8,1.65,-0.15000000000000013
Chris Boswell: 2022 Genesis Set (CORE),PIT,1.99,1.8,-0.18999999999999995
Donovan Peoples-Jones: 2022 Elevate Set (CORE),CLE,1.44,1.25,-0.18999999999999995
Donovan Peoples-Jones: 2022 Elevate Set (CORE),CLE,1.44,1.25,-0.18999999999999995
Donovan Peoples-Jones: 2022 Elevate Set (CORE),CLE,1.44,1.25,-0.18999999999999995
Chris Boswell: 2022 Genesis Set (CORE),PIT,2.0,1.8,-0.19999999999999996
Chris Boswell: 2022 Genesis Set (CORE),PIT,2.0,1.8,-0.19999999999999996
Chris Boswell: 2022 Genesis Set (CORE),PIT,2.0,1.8,-0.19999999999999996
Chris Boswell: 2022 Genesis Set (CORE),PIT,2.0,1.8,-0.19999999999999996
Cade York: 2022 Elevate Set (CORE),CLE,1.48,1.25,-0.22999999999999998
Justin Reid: 2022 Booster Set (CORE),KC,1.99,1.75,-0.24
Cade York: 2022 Elevate Set (CORE),CLE,1.49,1.25,-0.24
Donovan Peoples-Jones: 2022 Elevate Set (CORE),CLE,1.49,1.25,-0.24
Dustin Hopkins: 2022 Booster Set (CORE),LAC,2.99,2.75,-0.2400000000000002
Chase Winovich: 2022 Booster Set (CORE),CLE,1.25,1.0,-0.25
Chris Boswell: 2022 Booster Set (CORE),PIT,1.25,1.0,-0.25
Dustin Hopkins: 2022 Booster Set (CORE),LAC,3.0,2.75,-0.25
Cade York: 2022 Elevate Set (CORE),CLE,1.5,1.25,-0.25
Cade York: 2022 Elevate Set (CORE),CLE,1.5,1.25,-0.25
Van Jefferson: 2022 Genesis Set (CORE),LAR,3.3,3.0,-0.2999999999999998
Cameron Heyward: 2022 Booster Set (CORE),PIT,2.0,1.65,-0.3500000000000001
Chase Winovich: 2022 Booster Set (CORE),CLE,1.5,1.0,-0.5
Chase Winovich: 2022 Booster Set (CORE),CLE,1.5,1.0,-0.5
Cameron Brate: 2022 Elevate Set (CORE),TB,4.5,4.0,-0.5
Duke Johnson: 2022 Elevate Set (CORE),BUF,1.5,1.0,-0.5
Scotty Miller: 2022 Booster Set (CORE),TB,4.51,4.0,-0.5099999999999998
Chris Boswell: 2022 Booster Set (CORE),PIT,1.55,1.0,-0.55
Cade York: 2022 Elevate Set (CORE),CLE,1.85,1.25,-0.6000000000000001
Chris Boswell: 2022 Booster Set (CORE),PIT,1.7,1.0,-0.7
Zack Moss: 2022 Booster Set (CORE),BUF,2.75,1.99,-0.76
Chris Boswell: 2022 Booster Set (CORE),PIT,1.8,1.0,-0.8
Chris Boswell: 2022 Booster Set (CORE),PIT,1.9,1.0,-0.8999999999999999
Amari Cooper: 2022 Elevate Set (RARE),CLE,24.95,24.0,-0.9499999999999993
Chris Boswell: 2022 Booster Set (CORE),PIT,1.98,1.0,-0.98
Chris Boswell: 2022 Booster Set (CORE),PIT,1.99,1.0,-0.99
Ryan Succop: 2022 Genesis Set (CORE),TB,6.99,5.99,-1.0
Chris Boswell: 2022 Booster Set (CORE),PIT,2.0,1.0,-1.0
Duke Johnson: 2022 Genesis Set (CORE),BUF,2.79,1.5,-1.29
Khalil Shakir: 2022 Elevate Set (CORE),BUF,2.95,1.0,-1.9500000000000002
Jamison Crowder: 2022 Elevate Set (CORE),BUF,5.0,2.99,-2.01
Matt Gay: 2022 Booster Set (CORE),LAR,5.99,1.0,-4.99
