Fighter,Event,,,,,,,,,,,,,,,
Ji_í Procházka (c),282,Heatwave,,,,,,,Magomed Ankalaev: 2022-23 Heatwave Set (RARE),,,,282,,,
Jan B_achowicz,282,,,,,,,,Diego Ferreira: 2022-23 Heatwave Set (RARE),,,,None,,,
Paddy Pimblett,282,,,,,,,,Kai-Kara France: 2022-23 Heatwave Set (RARE),,,,None,,,
Robbie Lawler,282,,,,,,,,Drakkar Klose: 2022-23 Heatwave Set (RARE),,,,None,,,
Bryce Mitchell,282,,,,,,,,Derrick Lewis: 2022-23 Heatwave Set (RARE),,,,None,,,
Alexander Gustafsson,282,,,,,,,,Brandon Moreno: 2022-23 Heatwave Set (RARE),,,,None,,,
Raul Rosas Jr.,282,,,,,,,,Rose Namajunas: 2022-23 Heatwave Set (RARE),,,,None,,,
Darren Till,282,,,,,,,,Amanda Nunes: 2022-23 Heatwave Set (RARE),,,,,,,
Jairzinho Rozenstruik,282,,,,,,,,Sergei Pavlovich: 2022-23 Heatwave Set (RARE),,,,,,,
Edmen Shahbazyan,282,,,,,,,,Julianna Pe√±a: 2022-23 Heatwave Set (RARE),,,,,,,
Billy Quarantillo,282,,,,,,,,Dustin Poirier: 2022-23 Heatwave Set (RARE),,,,281,,,
Chris Curtis,282,,,,,,,,Jiri Prochazka: 2022-23 Heatwave Set (RARE),,,,,,,
T.J. Brown,282,,,,,,,,Anthony Smith: 2022-23 Heatwave Set (RARE),,,,,,,
Ronnie Lawrence,282,,,,,,,,Aljamain Sterling: 2022-23 Heatwave Set (RARE),,,,,,,
Vinicius Salvador,282,,,,,,,,Petr Yan: 2022-23 Heatwave Set (RARE),,,,,,,
Glover Teixeira,282,Heatwave,,,,,,,,,,,,,,
Magomed Ankalaev,282,Heatwave,,,,,,,Alexandr Romanov: 2022-23 Heatwave Set (RARE),,,,,,,
Jared Gordon,282,,,,,,,,Carla Esparza: 2022-23 Heatwave Set (RARE),,,,,,,
Santiago Ponzinibbio,282,,,,,,,,Colby Covington: 2022-23 Heatwave Set (RARE),,,,,,,
Ilia Topuria,282,,,,,,,,Francis Ngannou: 2022-23 Heatwave Set (RARE),,,,May never play again,,,
Ovince Saint Preux,282,,,,,,,,Glover Teixeira: 2022-23 Heatwave Set (RARE),,,,,,,
Jay Perrin,282,,,,,,,,Islam Makhachev: 2022-23 Heatwave Set (RARE),,,,,,,
Dricus du Plessis,282,,,,,,,,Jorge Masvidal: 2022-23 Heatwave Set (RARE),,,,,,,
Chris Daukaus,282,,,,,,,,Jos√© Aldo: 2022-23 Heatwave Set (RARE),,,,,,,
Dalcha Lungiambula,282,,,,,,,,Kamaru Usman: 2022-23 Heatwave Set (RARE),,,,,,,
Alexander Hernandez,282,,,,,,,,Khamzat Chimaev: 2022-23 Heatwave Set (RARE),,,,,,,
Joaquin Buckley,282,,,,,,,,Leon Edwards: 2022-23 Heatwave Set (RARE),,,,,,,
Erik Silva,282,,,,,,,,Luke Rockhold: 2022-23 Heatwave Set (RARE),,,,,,,
Cameron Saaiman,282,,,,,,,,Marcin Tybura: 2022-23 Heatwave Set (RARE),,,,,,,
Daniel da Silva,282,,,,,,,,Merab Dvalishvili: 2022-23 Heatwave Set (RARE),,,,,,,
,,,,,,,,,Paddy Pimblett: 2022-23 Heatwave Set (RARE),,,,,,,
,,,,,,,,,Paulo Costa: 2022-23 Heatwave Set (RARE),,,,,,,
Israel Adesanya,281,Heatwave,,,,,,,Robert Whittaker: 2022-23 Heatwave Set (RARE),,,,,,,
Alex Pereira,281,Heatwave,,,,,,,Tai Tuivasa: 2022-23 Heatwave Set (RARE),,,,,,,
Carla Esparza,281,,,,,,,,TJ Dillashaw: 2022-23 Heatwave Set (RARE),,,,,,,
Zhang Weili,281,Heatwave,,,,,,,Valentina Shevchenko: 2022-23 Heatwave Set (RARE),,,,,,,
Dustin Poirier,281,Heatwave,,,,,,,,,,,,,,
Michael Chandler,281,,,,,,,,,,,,,,,
Frankie Edgar,281,,,,,,,,,,,,,,,
Chris Gutierrez,281,,,,,,,,,,,,,,,[a]
Daniel Hooker,281,,,,,,,,,,,,,,,
Claudio Puelles,281,,,,,,,,,,,,,,,
Brad Riddell,281,,,,,,,,,,,,,,,
Renato Carneiro,281,,,,,,,,,,,,,,,
Dominick Reyes,281,,,,,,,,,,,,,,,
Ryan Spann,281,,,,,,,,,,,,,,,
Erin Blanchfield,281,,,,,,,,,,,,,,,
Molly McCann,281,,,,,,,,,,,,,,,
Andre Petroski,281,,,,,,,,,,,,,,,
Wellington Turman,281,,,,,,,,,,,,,,,
Matt Frevola,281,,,,,,,,,,,,,,,
Ottman Azaitar,281,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,281,,,,,,,,,,,,,,,
Silvana Juarez,281,,,,,,,,,,,,,,,
Michael Trizano,281,,,,,,,,,,,,,,,
Seungwoo Choi,281,,,,,,,,,,,,,,,
Julio Arce,281,,,,,,,,,,,,,,,
Montel Jackson,281,,,,,,,,,,,,,,,
Carlos Ulberg,281,,,,,,,,,,,,,,,
Nicolae Negumereanu,281,,,,,,,,,,,,,,,